participant,country,condition,problem,num_distance,correctness,congruency,rt,log_rt
10011,Malaysia,physical,6 | 7,1,TRUE,incongruent,0.3857,-0.41375036113395813
10011,Malaysia,physical,1 | 3,2,TRUE,congruent,0.5382,-0.26905630657226426
10011,Malaysia,physical,4 | 9,5,TRUE,incongruent,0.4071,-0.3902988976206005
10011,Malaysia,physical,7 | 6,1,TRUE,incongruent,0.3603,-0.4433357378774315
10011,Malaysia,physical,7 | 9,2,FALSE,congruent,0.4656,-0.3319870283581679
10011,Malaysia,physical,6 | 8,2,TRUE,incongruent,0.4494,-0.3473669319168899
10011,Malaysia,physical,8 | 9,1,TRUE,incongruent,0.5948,-0.2256290401500834
10011,Malaysia,physical,9 | 4,5,TRUE,congruent,0.7851,-0.10507502264045658
10011,Malaysia,physical,9 | 4,5,TRUE,incongruent,0.4793,-0.3193925710082121
10011,Malaysia,physical,1 | 2,1,TRUE,congruent,0.5072,-0.2948207551263237
10011,Malaysia,physical,9 | 8,1,TRUE,incongruent,0.5071,-0.2949063894521268
10011,Malaysia,physical,3 | 1,2,FALSE,incongruent,0.3901,-0.4088240496882086
10011,Malaysia,physical,2 | 4,2,TRUE,congruent,0.6262,-0.20328693671910356
10011,Malaysia,physical,8 | 9,1,TRUE,congruent,0.674,-0.17134010346468015
10011,Malaysia,physical,7 | 2,5,TRUE,incongruent,0.7786,-0.10868560061785691
10011,Malaysia,physical,2 | 7,5,TRUE,incongruent,0.6114,-0.21367456560992992
10011,Malaysia,physical,7 | 2,5,TRUE,congruent,0.4381,-0.3584267468218246
10011,Malaysia,physical,8 | 6,2,TRUE,incongruent,0.5489,-0.260506769218385
10011,Malaysia,physical,3 | 1,2,TRUE,congruent,0.4316,-0.364918563989127
10011,Malaysia,physical,4 | 9,5,TRUE,congruent,0.4672,-0.3304971658956569
10011,Malaysia,physical,3 | 8,5,TRUE,congruent,0.4803,-0.3184874133610378
10011,Malaysia,physical,9 | 7,2,TRUE,incongruent,0.7086,-0.14959885200284156
10011,Malaysia,physical,6 | 8,2,TRUE,congruent,0.4384,-0.3581294545236872
10011,Malaysia,physical,3 | 4,1,TRUE,incongruent,0.6045,-0.2186036948032093
10011,Malaysia,physical,1 | 2,1,TRUE,incongruent,0.4982,-0.30259627679951234
10012,Malaysia,physical,7 | 6,1,TRUE,congruent,1.0781,0.032659046039924006
10012,Malaysia,physical,3 | 1,2,TRUE,incongruent,1.0527,0.02230462293506859
10012,Malaysia,physical,2 | 1,1,TRUE,congruent,0.48,-0.3187587626244128
