participant,group,n_typing,median_typing,mean_typing,acc_typing,error_rate_typing
18510,BAC,60,1.35805,1.5285616666666666,96.7741935483871,0.03225806451612905
18601,CBA,62,1.149,1.1817903225806452,100,0
18824,ACB,61,1.333,1.3816229508196722,98.38709677419355,0.016129032258064526
18826,ACB,61,1.6526,1.781911475409836,98.38709677419355,0.016129032258064526
18876,CBA,62,1.48325,1.4832064516129033,100,0
18887,BAC,60,1.6266,1.7106833333333333,96.7741935483871,0.03225806451612905
19029,BCA,62,1.4252,1.42045,100,0
19114,ABC,57,1.3161,1.355078947368421,91.93548387096774,0.08064516129032259
19116,ABC,59,1.4,1.4715084745762712,95.16129032258065,0.04838709677419356
19124,ACB,60,1.97515,2.04734,96.7741935483871,0.032258064516129045
19125,BAC,61,1.4598,1.5985295081967212,98.38709677419355,0.016129032258064526
19127,BAC,61,2.3494,2.385777049180328,98.38709677419355,0.016129032258064526
19135,BCA,60,1.2841,1.2952816666666667,96.7741935483871,0.03225806451612905
19136,ABC,61,1.1434,1.2048049180327869,98.38709677419355,0.016129032258064526
19137,BAC,57,1.654,1.8895087719298245,91.93548387096774,0.08064516129032258
19140,CAB,61,1.5314,1.5913393442622952,98.38709677419355,0.016129032258064526
19146,CBA,58,1.34905,1.358646551724138,93.54838709677419,0.0645161290322581
19152,ACB,62,1.3322500000000002,1.7357387096774193,100,0
19164,BAC,62,1.41065,1.4456064516129032,100,0
19178,BAC,59,1.3982,1.4320050847457626,95.16129032258065,0.04838709677419356
19179,CAB,60,1.4685000000000001,1.4856833333333332,96.7741935483871,0.032258064516129045
19180,BAC,60,1.466,1.5165333333333333,96.7741935483871,0.03225806451612905
19188,CAB,58,1.51485,1.5817689655172413,93.54838709677419,0.06451612903225809
19193,CAB,61,1.367,1.4878524590163935,98.38709677419355,0.016129032258064526
19196,ABC,62,1.77515,1.8158838709677418,100,0
19199,CAB,61,1.515,1.592095081967213,98.38709677419355,0.01612903225806453
19205,CAB,61,1.5723,1.7153622950819671,98.38709677419355,0.016129032258064526
19206,BAC,61,1.6986,1.8861590163934427,98.38709677419355,0.016129032258064526
19210,ABC,62,1.4492,1.4978629032258064,100,0
19233,ACB,60,1.6579,1.6937783333333334,96.7741935483871,0.03225806451612906
19238,BCA,57,1.4334,1.526378947368421,91.93548387096774,0.08064516129032259
19248,CAB,60,1.6666,1.6994683333333334,96.7741935483871,0.03225806451612905
19250,BCA,59,1.5323,1.5563915254237288,95.16129032258065,0.048387096774193575
19263,ACB,60,1.45,1.5441933333333333,96.7741935483871,0.03225806451612905
19268,BCA,60,1.3335,1.41895,96.7741935483871,0.032258064516129045
19269,ACB,60,1.34275,1.3562366666666668,96.7741935483871,0.032258064516129045
19273,BAC,59,1.182,1.263486440677966,95.16129032258065,0.048387096774193554
19281,CAB,62,1.333,1.4455483870967742,100,0
19294,CAB,59,1.404,1.4469491525423728,95.16129032258065,0.048387096774193575
19298,CBA,59,1.4158,1.4234033898305085,95.16129032258065,0.04838709677419356
19308,CBA,60,1.3998499999999998,1.44101,96.7741935483871,0.032258064516129045
19310,ACB,60,1.433,1.4778833333333332,96.7741935483871,0.03225806451612905
19326,ABC,61,1.233,1.2891081967213114,98.38709677419355,0.016129032258064526
19355,BCA,60,1.59125,1.666655,96.7741935483871,0.03225806451612905
19363,ACB,60,1.44965,1.5345283333333333,96.7741935483871,0.03225806451612906
19374,BAC,62,1.3898000000000001,1.4260354838709677,100,0
19377,ABC,59,1.2026,1.9535101694915253,95.16129032258065,0.048387096774193575
19377,CBA,60,1.2583,1.3434283333333334,96.7741935483871,0.03225806451612905
19391,ABC,62,1.2985,1.3600209677419355,100,0
19423,ABC,61,1.6184,1.6551131147540983,98.38709677419355,0.016129032258064526
19424,CBA,59,1.2839,1.3330016949152543,95.16129032258065,0.048387096774193554
19431,BCA,62,1.2328000000000001,1.2463354838709677,100,0
19456,CBA,62,1.6418,1.6801596774193548,100,0
19461,CBA,59,1.333,1.358,95.16129032258065,0.048387096774193575
19475,CAB,58,1.483,1.5188948275862069,93.54838709677419,0.06451612903225808
19480,CAB,60,1.7601,1.8689916666666666,96.7741935483871,0.032258064516129045
19489,ACB,59,1.467,1.5612542372881355,95.16129032258065,0.04838709677419356
19492,ACB,61,1.6989,1.7932016393442622,98.38709677419355,0.016129032258064526
19493,CBA,60,1.383,1.5600666666666667,96.7741935483871,0.03225806451612905
19503,BCA,59,1.6,1.6523322033898304,95.16129032258065,0.04838709677419356
19506,BCA,60,1.4596,1.5037266666666667,96.7741935483871,0.032258064516129045
19521,BCA,59,1.6405,1.7161186440677967,95.16129032258065,0.048387096774193554
19525,CAB,61,1.4508,1.4582868852459017,98.38709677419355,0.016129032258064526
19533,CBA,60,1.19555,1.4762250000000001,96.7741935483871,0.03225806451612905
19542,ACB,61,1.2663,1.2963491803278688,98.38709677419355,0.016129032258064526
19543,CAB,59,1.55,1.5836220338983051,95.16129032258065,0.048387096774193575
19550,BCA,58,1.49155,1.5411241379310345,93.54838709677419,0.06451612903225809
19617,ABC,58,1.3,1.3305689655172415,93.54838709677419,0.06451612903225809
19631,CBA,59,1.2484,1.3528033898305085,95.16129032258065,0.048387096774193554
19641,BAC,57,1.3825,1.4635964912280701,91.93548387096774,0.08064516129032259
19694,CAB,62,1.483,1.5021935483870967,100,0
19726,CBA,62,1.4069500000000001,1.5132112903225807,100,0
19757,ABC,61,1.265,1.3337704918032787,98.38709677419355,0.016129032258064526
19760,CBA,59,1.3332,1.3635932203389831,95.16129032258065,0.04838709677419356
