participant,group,n_trial_correct,n_trial_lure,mean_rt_correct,mean_rt_lure,acc_veri,veri_performance
19726,CBA,131,118,2.518685496183206,2.957816101694915,86.45833333333334,0.4391306055117088
19757,ABC,141,138,1.843581560283688,2.302768115942029,96.875,0.45918655565834077
19760,CBA,137,102,1.339214598540146,1.678950980392157,82.98611111111111,0.33973638185201094
19767,CBA,120,123,1.7190633333333334,2.2560073170731707,84.375,0.5369439837398373
19769,BCA,135,133,2.1177414814814814,2.4465736842105263,93.05555555555556,0.3288322027290449
19777,CAB,122,91,1.2026639344262295,1.8406813186813187,73.95833333333334,0.6380173842550891
19779,ACB,137,125,1.803875912408759,2.143648,90.97222222222221,0.3397720875912411
19790,ACB,139,134,2.520530215827338,3.3179067164179106,94.79166666666666,0.7973765005905724
19800,CBA,132,115,2.2942825757575758,2.6092695652173914,85.76388888888889,0.3149869894598156
19803,BAC,135,128,2.263587407407407,2.93025703125,91.31944444444444,0.6666696238425929
19808,BCA,141,137,1.7246248226950354,2.2083832116788322,96.52777777777779,0.48375838898379686
19814,ABC,126,111,1.669579365079365,2.3773693693693696,82.29166666666666,0.7077900042900045
19815,CAB,131,87,1.1561335877862595,1.936087356321839,75.69444444444444,0.7799537685355795
19817,ABC,104,103,1.8370461538461538,1.7162563106796116,71.875,-0.12078984316654218
19818,BCA,137,139,3.242430656934306,3.7503956834532377,95.83333333333334,0.5079650265189315
19821,CAB,136,131,2.9578242647058826,3.1456503816793893,92.70833333333334,0.1878261169735067
19826,CAB,136,119,2.5271426470588234,2.708629411764706,88.54166666666666,0.18148676470588265
19829,BAC,72,69,0.30648888888888887,0.45766956521739127,48.95833333333333,0.1511806763285024
19833,ACB,137,128,2.4084014598540144,2.7710609375,92.01388888888889,0.3626594776459857
19835,CAB,135,103,1.29398,1.5892436893203883,82.63888888888889,0.2952636893203884
19844,CBA,140,138,1.0010242857142857,1.0955971014492754,96.52777777777779,0.09457281573498966
19854,CAB,136,116,1.1339860294117647,1.3568758620689656,87.5,0.22288983265720086
19865,CAB,137,120,1.211353284671533,1.457125,89.23611111111111,0.2457717153284671
19873,BAC,140,132,1.7708285714285714,2.1452272727272725,94.44444444444444,0.3743987012987011
19880,BCA,132,132,3.0105833333333334,4.0694,91.66666666666666,1.0588166666666665
19882,ACB,136,100,2.4191551470588237,3.355751,81.94444444444444,0.9365958529411764
19884,ABC,142,129,1.6315422535211268,1.8532325581395348,94.09722222222221,0.221690304618408
19890,ACB,135,117,1.2155333333333334,1.6273162393162393,87.5,0.4117829059829059
19901,CBA,139,133,2.497573381294964,3.417493233082707,94.44444444444444,0.9199198517877427
19905,ABC,105,80,1.384664761904762,1.27424625,64.23611111111111,-0.11041851190476204
19912,BAC,142,139,1.392838028169014,1.6049179856115108,97.56944444444444,0.21207995744249675
19922,ACB,139,138,1.9841726618705036,2.3190579710144927,96.18055555555556,0.3348853091439892
19924,BAC,144,138,1.0655770833333333,1.221236231884058,97.91666666666666,0.1556591485507246
19928,BCA,136,118,1.268764705882353,1.8390169491525423,88.19444444444444,0.5702522432701893
19938,CBA,113,104,1.3014840707964601,1.6047278846153847,75.34722222222221,0.3032438138189246
19945,ABC,125,129,2.253752,2.405343410852713,88.19444444444444,0.151591410852713
19946,ABC,141,140,1.2132900709219858,1.4170064285714286,97.56944444444444,0.20371635764944274
19951,BCA,138,122,1.5793195652173913,2.10067868852459,90.27777777777779,0.5213591233071988
19961,BCA,137,133,1.4765226277372263,1.7626308270676692,93.75,0.28610819933044285
19966,CAB,133,129,2.2008969924812027,2.327731007751938,90.97222222222221,0.12683401527073546
19975,BCA,137,121,1.5823868613138685,1.818495867768595,89.58333333333334,0.23610900645472643
19984,ACB,142,119,3.641816901408451,4.0061680672268905,90.625,0.3643511658184395
19990,BCA,142,130,1.5462183098591549,1.8142769230769231,94.44444444444444,0.26805861321776825
19992,ACB,132,126,2.8359113636363635,4.022827777777778,89.58333333333334,1.1869164141414141
20012,CAB,139,131,1.5039395683453238,1.9351381679389312,93.75,0.4311985995936074
20024,ABC,132,124,1.109019696969697,1.2528362903225807,88.88888888888889,0.14381659335288366
20041,CAB,140,123,2.0336707142857144,2.825243902439024,91.31944444444444,0.7915731881533095
20046,BCA,142,131,1.8644373239436618,2.3077809160305343,94.79166666666666,0.44334359208687246
20055,CBA,139,137,1.4050964028776978,1.5656861313868613,95.83333333333334,0.16058972850916353
20067,BCA,139,128,2.3635395683453235,3.016678125,92.70833333333334,0.65313855665467635
20073,ABC,141,128,2.722035460992908,3.3944453125,93.40277777777779,0.672409851507092
20084,CBA,140,132,1.5776657142857144,1.977084090909091,94.44444444444444,0.39941837662337654
20231,ABC,139,132,2.945223021589928,3.5180712121136364,94.09722222222221,0.5728481905237084
