participant,group,n_fluency,n_wrong,acc_fluency,composite_fluency,median_fluency,mean_fluency
19833,ACB,19,6,31.666666666666664,26.666666666666668,2.886,3.686536842105263
19835,CAB,29,8,48.333333333333336,41.66666666666667,1.9813,2.2042551724137933
19844,CBA,41,6,68.33333333333333,63.33333333333333,1.7494,1.8588878048780488
19854,CAB,35,3,58.333333333333336,55.833333333333336,2.2198,2.3472114285714287
19865,CAB,36,4,60,56.666666666666664,1.84095,2.1417027777777777
19873,BAC,13,2,21.666666666666668,20,3.013,3.921923076923077
19880,BCA,24,1,40,39.166666666666664,3.2628500000000003,3.6536916666666666
19882,ACB,15,4,25,21.666666666666668,2.8838,3.8057933333333334
19884,ABC,25,5,41.66666666666667,37.5,2.466,2.63396
19890,ACB,36,7,60,54.166666666666664,1.681,1.99075
19901,CBA,19,4,31.666666666666664,28.333333333333332,2.0974,3.4843789473684215
19905,ABC,21,3,35,32.5,3.5296,3.7983571428571428
19912,BAC,33,2,55.00000000000001,53.333333333333336,2.2664,2.59689696969697
19922,ACB,28,2,46.666666666666664,45,2.433,3.0225714285714287
19924,BAC,44,2,73.33333333333333,71.66666666666667,1.78335,1.9336477272727273
19928,BCA,28,5,46.666666666666664,42.5,2.391,2.7961785714285714
19938,CBA,15,4,25,21.666666666666668,2.1736,3.7810799999999998
19945,ABC,20,3,33.33333333333333,30.833333333333336,2.74105,3.94468
19946,ABC,32,2,53.333333333333336,51.66666666666667,2.21685,2.542234375
19951,BCA,32,3,53.333333333333336,50.83333333333333,2.16315,2.524421875
19961,BCA,35,3,58.333333333333336,55.833333333333336,1.9484,2.2960885714285713
19966,CAB,24,4,40,36.666666666666664,2.76505,3.27975
19975,BCA,24,4,40,36.666666666666664,2.5985,2.736666666666667
19984,ACB,15,2,25,23.333333333333332,2.615,5.1790666666666665
19990,BCA,23,2,38.333333333333336,36.666666666666664,2.415,3.303434782608696
19992,ACB,14,5,23.333333333333332,19.166666666666668,2.5068,2.7888285714285717
20012,CAB,34,3,56.666666666666664,54.166666666666664,2.1477500000000003,2.34425
20024,ABC,35,3,58.333333333333336,55.833333333333336,1.6819,2.1957771428571426
20041,CAB,20,2,33.33333333333333,31.666666666666664,2.3748,4.2072
20046,BCA,22,1,36.666666666666664,35.833333333333336,3.21185,3.7112499999999997
20055,CBA,29,3,48.333333333333336,45.83333333333333,2.3819,2.7316517241379312
20067,BCA,24,3,40,37.5,2.5046,3.3015
20073,ABC,20,4,33.33333333333333,30,2.5995,3.8874000000000004
20084,CBA,19,3,31.666666666666664,29.166666666666668,2.4117,3.2704473684210527
20231,ABC,22,2,36.666666666666664,35,2.5136500010000002,3.4931136364545456
