participant,group,stroopResp.rt,stroopResp.corr,stroopCond,displayProblem,numDistance,Dims
18510,BAC,0.3787,1,physical,7 | 6,1,congruent
18510,BAC,0.5923,1,physical,8 | 8,0,neutral
18510,BAC,0.5479,1,physical,8 | 3,5,incongruent
18510,BAC,0.3803,1,physical,9 | 7,2,congruent
18510,BAC,0.4009,0,physical,1 | 2,1,incongruent
18510,BAC,0.4456,1,physical,6 | 1,5,congruent
18510,BAC,0.5047,1,physical,8 | 6,2,incongruent
18510,BAC,0.5133,1,physical,9 | 7,2,incongruent
18510,BAC,0.499,1,physical,4 | 4,0,neutral
18510,BAC,0.4141,1,physical,3 | 3,0,neutral
18510,BAC,0.4529,1,physical,4 | 3,1,incongruent
18510,BAC,0.4466,1,physical,8 | 6,2,congruent
18510,BAC,0.4663,1,physical,7 | 6,1,incongruent
18510,BAC,0.4052,1,physical,2 | 2,0,neutral
18510,BAC,0.5307,1,physical,7 | 7,0,neutral
18510,BAC,0.4652,1,physical,6 | 6,0,neutral
18510,BAC,0.6164,1,physical,7 | 7,0,neutral
18510,BAC,0.4824,1,physical,8 | 8,0,neutral
18510,BAC,0.4984,1,physical,4 | 3,1,congruent
18510,BAC,0.4706,1,physical,3 | 3,0,neutral
18510,BAC,0.3812,0,physical,4 | 4,0,neutral
18510,BAC,0.4276,1,physical,4 | 4,0,neutral
18510,BAC,0.4195,1,physical,9 | 4,5,incongruent
18510,BAC,0.4432,1,physical,1 | 3,2,congruent
18510,BAC,0.4318,1,physical,4 | 2,2,congruent
18510,BAC,0.3527,1,physical,8 | 8,0,neutral
18510,BAC,0.5032,1,physical,6 | 6,0,neutral
18510,BAC,0.5067,1,physical,4 | 2,2,incongruent
18510,BAC,0.9132,1,physical,4 | 9,5,incongruent
18510,BAC,0.5494,1,physical,7 | 2,5,incongruent
18510,BAC,0.4645,1,physical,4 | 9,5,congruent
18510,BAC,0.5482,1,physical,9 | 8,1,congruent
18510,BAC,0.5157,1,physical,3 | 3,0,neutral
18510,BAC,0.3859,1,physical,1 | 1,0,neutral
18510,BAC,0.4479,1,physical,3 | 8,5,incongruent
18510,BAC,0.3812,1,physical,3 | 8,5,congruent
18510,BAC,0.4217,1,physical,7 | 7,0,neutral
18510,BAC,0.3397,1,physical,2 | 7,5,incongruent
18510,BAC,0.5658,1,physical,3 | 1,2,incongruent
18510,BAC,0.479,1,physical,1 | 1,0,neutral
18510,BAC,0.4535,1,physical,9 | 4,5,congruent
18510,BAC,0.3458,1,physical,2 | 4,2,congruent
18601,CBA,1.307,1,magnitude,6 | 7,1,congruent
18601,CBA,0.929,1,magnitude,2 | 7,5,incongruent
18601,CBA,0.592,1,magnitude,1 | 2,1,incongruent
18601,CBA,0.575,1,magnitude,2 | 4,2,incongruent
18601,CBA,0.756,1,magnitude,8 | 9,1,congruent
18601,CBA,0.658,1,magnitude,6 | 1,5,neutral
18601,CBA,0.556,1,magnitude,1 | 3,2,congruent
18601,CBA,0.626,1,magnitude,3 | 4,1,congruent
18601,CBA,0.912,1,magnitude,8 | 6,2,incongruent
18601,CBA,0.809,1,magnitude,9 | 8,1,neutral
18601,CBA,0.665,1,magnitude,7 | 6,1,incongruent
