participant,group,mean_rt__P_0,mean_rt__P_1,mean_rt__P_2,mean_rt__P_5,acc__P_0,acc__P_1,acc__P_2,acc__P_5,mean_rt__P_congruent,mean_rt__P_incongruent,mean_rt__P_neutral,acc__P_congruent,acc__P_incongruent,acc__P_neutral,mean_rt__M_1,mean_rt__M_2,mean_rt__M_5,acc__M_1,acc__M_2,acc__M_5,mean_rt__M_congruent,mean_rt__M_incongruent,mean_rt__M_neutral,acc__M_congruent,acc__M_incongruent,acc__M_neutral
10010,CAB,0.6125541666666666,0.601875,0.62935,0.563275,100,100,100,100,0.5991666666666666,0.5971666666666666,0.6125541666666666,100,100,100,0.6321,0.6268304347826087,0.5510333333333334,95.83333333333334,95.83333333333334,100,0.6104458333333334,0.6055545454545455,0.5919708333333333,100,91.66666666666666,100
10011,BCA,0.49851304347826086,0.481375,0.5437714285714286,0.5377625,95.83333333333334,100,87.5,100,0.48006521739130437,0.5598913043478261,0.49851304347826086,95.83333333333334,95.83333333333334,95.83333333333334,0.5274791666666667,0.5314041666666667,0.5016083333333333,100,100,100,0.5027833333333334,0.5399833333333334,0.517725,100,100,100
10012,CAB,0.6025708333333333,0.6596466666666667,0.6836733333333334,0.6540312500000001,100,93.75,93.75,100,0.555225,0.7858590909090909,0.6025708333333333,100,91.66666666666666,100,0.6831363636363637,0.62665,0.5660958333333334,91.66666666666666,100,100,0.5672875000000001,0.7140636363636363,0.5971083333333334,100,91.66666666666666,100
10013,BCA,0.6513958333333333,0.66526875,0.63655,0.68573125,100,100,100,100,0.6466375,0.6783958333333333,0.6513958333333333,100,100,100,1.0173588235294118,0.8271304347826087,0.7241368421052632,70.83333333333334,95.83333333333334,79.16666666666666,0.8399375,0.8635466666666667,0.8482999999999999,100,62.5,83.33333333333334
10014,CAB,0.7913782608695652,0.7084125,0.6998375,0.9116866666666666,95.83333333333334,100,100,93.75,0.6515124999999999,0.8943913043478261,0.7913782608695652,100,95.83333333333334,95.83333333333334,0.9234428571428571,0.9959666666666667,0.8418888888888888,58.333333333333336,62.5,75,0.8470375,0.7424333333333334,1.023275,100,12.5,83.33333333333334
10015,ACB,0.5621875,0.58375,0.57295625,0.5463312499999999,100,100,100,100,0.5334458333333333,0.6019125,0.5621875,100,100,100,1.11955,0.967565,1.0864214285714286,75,83.33333333333334,58.333333333333336,0.8428041666666667,0.7481454545454546,1.5444823529411766,100,45.83333333333333,70.83333333333334
10016,BAC,0.524995,0.5626625,0.66786875,0.5537857142857143,83.33333333333334,100,100,87.5,0.5797695652173913,0.6133391304347826,0.524995,95.83333333333334,95.83333333333334,83.33333333333334,0.55225,0.6266636363636363,0.6329565217391304,91.66666666666666,91.66666666666666,95.83333333333334,0.5862727272727273,0.6250409090909091,0.6019652173913044,91.66666666666666,91.66666666666666,95.83333333333334
10017,CBA,0.5177541665416666,0.4645875000625,0.4486,0.5591642858571428,100,100,93.75,87.5,0.4748625000416667,0.5044761905714286,0.5177541665416666,100,87.5,100,0.7463608695652174,0.6968173914347826,0.5739750000416667,95.83333333333334,95.83333333333334,100,0.716941666625,0.6375090909545454,0.6556958335,100,91.66666666666666,100
10018,BAC,0.4599416666666667,0.43943125,0.41165384615384615,0.47531875,100,100,81.25,100,0.42115,0.47047142857142854,0.4599416666666667,100,87.5,100,0.5563857142857143,0.5743583333333333,0.48088695652173913,87.5,100,95.83333333333334,0.5072333333333333,0.5515476190476191,0.5553478260869565,100,87.5,95.83333333333334
10019,ACB,0.4459625,0.43006875,0.50736875,0.46185,100,100,100,87.5,0.4459625,0.48917272727272726,0.4459625,100,91.66666666666666,100,0.7367782608695652,0.6284545454545455,0.5778217391304348,95.83333333333334,91.66666666666666,95.83333333333334,0.5847454545454546,0.7220000000000001,0.634408695652174,91.66666666666666,95.83333333333334,95.83333333333334
10020,BCA,0.5258333333333334,0.63190625,0.5265133333333334,0.6457625,100,100,93.75,100,0.5375875,0.6712304347826087,0.5258333333333334,100,95.83333333333334,100,0.8210652173913043,0.9008375,0.5748125,95.83333333333334,100,100,0.6907291666666667,0.7643333333333333,0.8425478260869566,100,100,95.83333333333334
10021,ABC,0.6634166666666667,0.6708125,0.7029375,0.7249375,100,100,100,100,0.6756666666666666,0.7234583333333333,0.6634166666666667,100,100,100,0.73175,0.678625,0.6495416666666667,100,100,100,0.6935416666666667,0.69325,0.673125,100,100,100
10022,BCA,0.6581,0.60151875,0.6600266666666667,0.69235,100,100,93.75,100,0.5636916666666667,0.7423347826086957,0.6581,100,95.83333333333334,100,0.58938,0.5390826086956522,0.5655333333333333,83.33333333333334,95.83333333333334,100,0.5344695652173913,0.5921772727272727,0.565390909090909,95.83333333333334,91.66666666666666,91.66666666666666
10023,CBA,0.7229222222222222,0.642090909090909,0.6796272727272727,0.4619357142857143,75,68.75,68.75,87.5,0.5711111111111111,0.5958888888888889,0.7229222222222222,75,75,75,0.42861333333333335,0.44196875,0.43866666666666665,62.5,66.66666666666666,62.5,0.4411294117647059,0.41144285714285717,0.45475333333333334,70.83333333333334,58.333333333333336,62.5
10024,BAC,0.5836916666666667,0.6663066666666667,0.6300142857142857,0.6312187499999999,100,93.75,87.5,100,0.6250571428571429,0.6578375,0.5836916666666667,87.5,100,100,0.6901826086956522,0.6531666666666667,0.6552909090909091,95.83333333333334,100,91.66666666666666,0.6184208333333333,0.7035857142857143,0.6812166666666667,100,87.5,100
10025,ABC,0.4694,0.55894375,0.46776249999999997,0.5073857142857143,100,100,100,87.5,0.4619083333333333,0.5656772727272728,0.4694,100,91.66666666666666,100,0.6692782608695652,0.626675,0.5483391304347826,95.83333333333334,100,95.83333333333334,0.5880625,0.6358136363636363,0.6226666666666667,100,91.66666666666666,100
