participant,group,n_trial_correct,n_trial_lure,mean_rt_correct,mean_rt_lure,acc_veri,veri_performance
10010,CAB,139,136,1.1785223021582734,1.413847794117647,95.48611111111111,0.2353254919593737
10011,BCA,143,134,0.8742426573426574,1.0802746268656716,96.18055555555556,0.20603196952301417
10012,CAB,134,137,1.1275432835820896,1.3225722627737226,94.09722222222221,0.1950289791916331
10013,BCA,103,89,2.172077669902913,3.051959550561798,66.66666666666666,0.8798818806588851
10014,CAB,131,88,3.356587786259542,4.018648863636364,76.04166666666666,0.6620610773768218
10015,ACB,135,123,4.856040740740741,4.870020325203252,89.58333333333334,0.013979584462511241
10016,BAC,139,125,0.823263309352518,1.0531456,91.66666666666666,0.2298822906474819
10017,CBA,127,136,1.7344984251732285,2.4105654411544117,91.31944444444444,0.6760670159811832
10018,BAC,137,131,0.9185474452554745,1.1254427480916032,93.05555555555556,0.20689530283612867
10019,ACB,136,139,3.0922595588235295,3.9339712230215826,95.48611111111111,0.8417116641980531
10020,BCA,134,122,1.542039552238806,1.9843155737704918,88.88888888888889,0.4422760215316859
10021,ABC,142,139,1.5046830985915494,2.2221079136690647,97.56944444444444,0.7174248150775153
10022,BCA,78,93,1.3291166666666665,1.5384225806451615,59.375,0.20930591397849496
10023,CBA,39,29,0.7852179487179487,1.6099724137931035,23.61111111111111,0.8247544650751548
10024,BAC,140,137,1.0146635714285714,1.1652401459854014,96.18055555555556,0.15057657455682993
10025,ABC,141,134,1.3090347517730496,1.712476119402985,95.48611111111111,0.4034413676299353
10026,BCA,142,129,1.3517845070422536,1.8129806201550387,94.09722222222221,0.4611961131127851
10027,CAB,139,123,1.2772079136690648,1.9119569105691057,90.97222222222221,0.6347489969000408
10028,CAB,136,137,1.0250735294117648,1.2225094890437955,94.79166666666666,0.19743595963203076
10029,CBA,136,130,0.9886433823529411,1.3118376923076922,92.36111111111111,0.32319430995475107
10030,BAC,139,140,1.1115287769784172,1.3960735714285715,96.875,0.28454479445015424
10031,BAC,141,134,2.1119482269503544,3.1669783582089552,95.48611111111111,1.0550301312586008
10032,BCA,142,126,2.872587323943662,3.9244246031746033,93.05555555555556,1.0518372792309414
119238710566,CAB,140,136,0.8050021428571429,0.9332639705882353,95.83333333333334,0.1282618277310924
134423588053,CBA,143,143,0.9464433566433567,1.1878223776223777,99.30555555555556,0.24137902097902109
176876591960,ABC,140,135,0.7382442857142857,0.8494377777777777,95.48611111111111,0.11119349206349205
181625310168,BCA,139,139,0.7979992805755396,0.8691971223021583,96.52777777777779,0.0711978417266187
191352558881,BCA,137,131,1.2567693430656934,1.7557801526717558,93.05555555555556,0.49901080960606237
230068048695,CAB,141,129,1.2737475177304964,1.5831736434108528,93.75,0.3094261256803563
231023528450,ACB,129,128,1.3569992248062015,1.4801,89.23611111111111,0.12310077519379847
277529272856,CAB,135,122,1.1831348148148149,1.5645327868852459,89.23611111111111,0.381397972070431
294874663208,CAB,128,133,1.59938125,2.126496992481203,90.625,0.527115742481203
318020814820,ABC,139,135,0.8350589928057554,0.9764311111111111,95.13888888888889,0.1413721183053558
392002593306,BCA,135,133,1.0754348148148147,1.2701676691729324,93.05555555555556,0.1947328543581177
414654074748,CAB,142,141,3.090873943661972,3.670467375886525,98.26388888888889,0.5795934322245531
458214205270,CAB,143,137,1.0740951048951048,1.1744262773722627,97.22222222222221,0.10033117247715784
483748594322,ACB,137,132,2.023906569343066,2.573240909090909,93.40277777777779,0.5493343397478432
484025127976,BAC,136,136,0.9839551470588235,1.1442110294117647,94.44444444444444,0.1602558823529412
501104472111,BCA,134,140,1.2109932835820896,1.4958185714285714,95.13888888888889,0.28482528784648187
517308643925,BCA,142,133,1.1465852112676056,1.3636924812030076,95.48611111111111,0.21710726993540197
560520040965,CAB,134,122,1.1247932835820895,1.4626909836065574,88.88888888888889,0.33789770002446784
582545690541,BAC,142,135,0.86675,1.0744140740740742,96.18055555555556,0.20766407407407417
604128320491,ABC,138,101,1.1322471013913042,1.6274346534356436,82.98611111111111,0.4951875520443394
651964771235,ACB,119,111,1.2928789915966385,1.6248198198198198,79.86111111111111,0.3319408282231813
